Disease,Content
acne,"Acne is a skin condition that causes pimples or ""zits."" Whiteheads, blackheads, and red, inflamed patches of skin (such as cysts) may develop.CausesAcne occurs when tiny holes on the surface of the skin become clogged. These holes are called pores.Each pore opens to a follicle. A follicle contains a hair and an oil gland. The oil released by the gland helps remove old skin cells and keeps your skin soft.The glands can become blocked with a mixture of oil and skin cells. The blockage is called a plug or comedone. If the top of the plug is white, it is called awhitehead. It is called ablackheadif the top of the plug is dark.If bacteria become trapped in the plug, the body's immune system may react to it, causing pimples.Acne that is deep in your skin can cause hard, painfulcysts. This is called nodulocystic acne.Acne is most common in teenagers, but anyone can get acne, even babies. The problem tends to run in families.Some things that may trigger acne include:Hormonal changes that make the skin oilier. These may be related to puberty, menstrual periods, pregnancy,birth control pills, or stress.Greasy or oily cosmetic and hair products.Certain drugs (such as steroids,testosterone, estrogen, and phenytoin). Birth control devices, suc"
adhesion,"Adhesions are bands of scar-like tissue that form betweenΓ‚Β two surfaces inside the body and cause them to stick together.CausesWith movement of the body, internal organs such as the bowel or uterus are normally able to shift and to slide past each other. This is because these tissues and organs in the abdominal cavity have smooth, slippery surfaces. Inflammation (swelling), surgery, or injury can cause adhesions to form and prevent this movement. Adhesions can occur almost anywhere in the body, including:Joints, such as the shoulderEyesInside the abdomen or pelvisAdhesions can become larger or tighter over time. Problems may occur if the adhesions cause an organ or body part to:TwistPull out of positionBe unable to move normallyThe risk of forming adhesions is high after bowel or female organ surgeries. Surgery using a laparoscope is less likely to cause adhesions than open surgery.Other causes of adhesions in the abdomen or pelvis include:Appendicitis, most often when the appendix breaks open (ruptures)CancerEndometriosisInfections in the abdomen and pelvis, such as appendicitis or fallopian tube infectionRadiation treatmentAdhesions around the joints may occur:After surgery or traumaWith certain types of arthritisWith overuse of"
anemia,"Anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.Different types of anemia include:Anemia due to vitamin B12 deficiencyAnemia due to folate (folic acid) deficiencyAnemia due to iron deficiencyAnemia of chronic diseaseHemolytic anemiaIdiopathic aplastic anemiaMegaloblastic anemiaPernicious anemiaSickle cell anemiaThalassemiaIron deficiency anemia is the most common type of anemia.CausesAlthough many parts of the body help make red blood cells, most of the work is done in the bone marrow. Bone marrow is the soft tissue in the center of bones that helps form all blood cells.Healthy red blood cells last between 90 and 120 days. Parts of your body then remove old blood cells. A hormone called erythropoietin (EPO) made in your kidneys signals your bone marrow to make more red blood cells.Hemoglobin is the oxygen-carrying protein inside red blood cells. It gives red blood cells their color. People with anemia do not have enough hemoglobin.The body needs certain vitamins, minerals, and nutrients to make enough red blood cells. Iron, vitamin B12, and folic acid are three of the most important ones. The body may not have enough of these nutrients due to:Chan"
arthritis,"Arthritis is inflammation or degeneration of one or more joints. A joint is the area where 2 bones meet. There are more than 100 different types of arthritis.CausesArthritis involves the breakdown of structures of the joint, particularly cartilage. Normal cartilage protects a joint and allows it to move smoothly. Cartilage also absorbs shock when pressure is placed on the joint, such as when you walk. Without the normal amount of cartilage, the bones under the cartilage become damaged and rub together. This causes swelling (inflammation), and stiffness.Other joint structures affected by arthritis include:The synoviumThe bone next to the jointLigaments and tendonsSacs that may be fluid-filled next to bone, ligaments and tendons (bursae)Joint inflammation and damage may result from:An autoimmune disease (the body's immune system mistakenly attacks healthy tissue)Broken boneGeneral ""wear and tear"" on jointsInfection, most often by bacteria or virusesCrystals such as uric acid or calcium pyrophosphate dihydrateIn most cases, the joint inflammation goes away after the cause goes away or is treated. Sometimes, it does not. When this happens, you have long-term (chronic) arthritis.Arthritis may occur in people of any age and sex.Osteoart"
asthma,"Asthma is a chronic disease that causes the airways of the lungs to swell and narrow. It leads to breathing difficulty such as wheezing, shortness of breath, chest tightness, and coughing.CausesAsthma is caused by swelling (inflammation) in the airways. An asthma attack occurs when the lining of the air passages has become swollen and the muscles surrounding the airways become tight. This narrowing reduces the amount of air that can pass through the airway.Asthma symptoms can be caused by breathing in substances calledallergensor triggers, or by other causes.Common asthma triggers include:Animals (pet hair or dander)Dust mitesCertain medicines (aspirin and other NSAIDs)Changes in weather (most often cold weather)Chemicals in the air (pollution) or in foodPhysical activityMoldPollenRespiratory infections, such as thecommon coldand many other virusesStrong emotions (stress)Tobacco or other inhalant that is smokedSubstances in some workplaces can also trigger asthma symptoms, leading tooccupational asthma. The most common triggers are wood dust, grain dust, animal dander, fungi, or chemicals.Many people with asthma have a personal or family history ofallergies, such as hay fever (allergic rhinitis) oreczema. Others have no history of"
bipolar disorder,"Bipolar disorder is a mental condition in which a person has wide or extreme swings in their mood. Periods of feelingsad and depressedmay alternate with periods of intense excitement and activity or being cross or irritable.CausesBipolar disorder affects men and women equally. It most often starts between ages 15 and 25. The exact cause is not known, but it occurs more often in relatives of people with bipolar disorder.In most people with bipolar disorder, there is no clear cause for the periods (episodes) of extreme happiness and high activity or energy (mania) or depression and low activity or energy (depression). The following may trigger a manic episode:ChildbirthMedicines, such as antidepressants or steroidsPeriods of not being able to sleep(insomnia)Recreational drug useSymptomsThe manic phase may last from days to months. It may include these symptoms:Easily distractedExcess involvement in activitiesLittle need for sleepPoor judgmentPoor temper controlLack of self-control and reckless behavior, such as drinking or using drugs in excess, having increased and risky sex, gambling, and spending or giving away a lot of moneyVery irritable mood, racing thoughts, talking a lot, and false beliefs about self or abilitiesRapid speech"
cardiomyopathy,"Cardiomyopathy is disease in which the heart muscle becomes weakened, stretched, or has another structural problem. It often contributes to the heart's inability to pump or function well.Many people with cardiomyopathy haveheart failure.CausesThere are many types of cardiomyopathy, with different causes. Some of the more common ones are:Dilated cardiomyopathy (also called idiopathic dilated cardiomyopathy if there is no known cause) is a condition in which the heart becomes weak and the chambers get large. As a result, the heart cannot pump enough blood out to the body. It can be caused by many medical problems.Hypertrophic cardiomyopathy (HCM) is a condition in which the heart muscle becomes thick. This makes it harder for blood to leave the heart. This type of cardiomyopathy is most often passed down through families.Ischemic cardiomyopathy is caused by a narrowing of the arteries that supply the heart with blood. It makes the heart walls thin so they do not pump well.Restrictive cardiomyopathy is a group of disorders. The heart chambers are unable to fill with blood because the heart muscle is stiff. The most common causes of this type of cardiomyopathy are amyloidosis and scarring of the heart from an unknown cause.Peripartum "
cellulitis,"Cellulitis is a common skin infection caused by bacteria. It affects the middle layer of the skin (dermis) and the tissues below. Sometimes, muscle below the skin can be affected.CausesStaphylococcus and streptococcus bacteria are the most common causes of cellulitis.Normal skin has many types of bacteria living on it. When there is a break in the skin, these bacteria can cause a skin infection.Risk factors for cellulitis include:Cracks or peeling skin between the toesHistory ofperipheral vascular diseaseInjury or trauma with a break in the skin (skin wounds)Insect bites and stings, animal bites, or human bitesUlcersfrom certain diseases, including diabetes and vascular diseaseUse of corticosteroid medicines or other medicines that suppress the immune systemWound from a recent surgerySymptomsSymptoms of cellulitis include:FeverwithchillsandsweatingFatiguePain or tenderness in the affected areaSkin redness or inflammationthat gets bigger as the infection spreadsSkin sore orrashthat starts suddenly, and grows quickly in the first 24 hoursTight, glossy, stretched appearance of the skinWarm skin in the area of rednessMuscle achesand joint stiffness from swelling of the tissue over the jointNausea and vomitingExams and TestsYour health"
cervical spondylosis,"Cervical spondylosis is a disorder in which there is wear on the cartilage (disks) and bones of the neck (cervical vertebrae). It is a common cause of chronic neck pain.CausesCervical spondylosis is caused by aging andchronicwear on the cervical spine. This includes the disks or cushions between the neck vertebrae and the joints between the bones of the cervical spine. There may be abnormal growths or spurs on the bones of the spine (vertebrae).Over time, these changes can press down on (compress) one or more of the nerve roots. In advanced cases, the spinal cord becomes involved. This can affect your arms, legs, and balance.Everyday wear and tear may start these changes. People who are very active at work or in sports may be more likely to have them.The major risk factor is aging. By age 60, most people show signs of cervical spondylosis on x-ray. Other factors that can make someone more likely to develop spondylosis are:Being overweight and not exercisingHaving a job that requires heavy lifting or a lot of bending and twistingPast neck injury (often several years before)Past spine surgeryRuptured or slipped diskSevere arthritisPrevious surgery on the neckSymptomsSymptoms often develop slowly over time. But they may start or get "
cirrhosis,"Cirrhosis is scarring of the liver and poor liver function. It is the last stage of chronic liver disease.CausesCirrhosis is most often the end result of chronic liver damage caused by long-term (chronic) liver disease. Common causes of chronic liver disease in the United States are:Hepatitis Borhepatitis Cinfection.Alcohol overuse.Buildup of fat in the liver that is NOT caused by drinking too much alcohol(called metabolic associated steatotic liver disease [MASLD] or metabolic associated steatohepatitis [MASH]). It is closely related to being overweight, having high blood pressure, diabetes or pre-diabetes, and high cholesterol.Less common causes of cirrhosis include:When immune cells mistake the liver's normal cells for harmful invaders and attack them, called autoimmune hepatitis (AH)Bile duct disordersSome medicinesLiver diseases passed down in familiesSymptomsThere may be no symptoms, or symptoms may come on slowly, depending on how well the liver is working. Often, it is discovered by chance when an abdominal ultrasound exam is done or blood is drawn for another reason.Early symptoms include:Fatigue and loss of energyPoor appetite and weight lossNausea or belly painSmall, red spider-like blood vessels on the skinAs liver fun"
