text,label
What is the weather like today?,2
How do I make a paper airplane?,2
What is the capital of France?,2
How many continents are there?,2
What is your favorite color?,2
Can you tell me a joke?,2
Who wrote 'Romeo and Juliet'? ,2
How do I get to the nearest station?,2
What time is it?,2
Do you like sports?,2
How many hours are in a day?,2
What is the tallest mountain?,2
How do I tie my shoes?,2
What is the weather forecast for tomorrow?,2
Can you recommend a good book?,2
What is your favorite food?,2
How do I make pancakes?,2
Where is the Great Wall of China?,2
What is the fastest animal?,2
What are the seven wonders of the world?,2
What does HTML stand for?,2
How do I solve a Rubik's cube?,2
What is the square root of 16?,2
What is the best way to learn a new language?,2
How does a bicycle work?,2
What is the meaning of life?,2
Can you tell me a fun fact?,2
What is your favorite hobby?,2
What is the largest ocean?,2
Who is the president of the United States?,2
What is the longest river in the world?,2
How do I make a smoothie?,2
What is the population of India?,2
Where can I find the Mona Lisa?,2
What is the fastest way to learn coding?,2
How do I create a website?,2
What is the best way to stay healthy?,2
How do I plant a tree?,2
Where do penguins live?,2
How do I change a tire?,2
What is the best way to study for a test?,2
What is a good way to relax?,2
What is the capital of Italy?,2
What is the national bird of the United States?,2
How do I make an origami crane?,2
What is the most expensive city to live in?,2
How do I get rid of a cold?,2
What are the best hiking trails in the world?,2
What is the most famous museum in the world?,2
What is the largest desert in the world?,2
What is your favorite season of the year?,2
How do I fix a leaky faucet?,2
What is the most popular social media platform?,2
How do I organize my schedule?,2
What is the best way to start a workout routine?,2
How do I make a scrapbook?,2
What is the largest animal on Earth?,2
How do I learn to drive?,2
What is the tallest building in the world?,2
How do I change my password?,2
What is the most popular food in the world?,2
What is the best way to train a dog?,2
How do I make my own jewelry?,2
What is the most popular video game right now?,2
What is the most expensive car in the world?,2
How do I decorate my room?,2
What is the best way to stay productive?,2
How do I start a podcast?,2
What is the most famous holiday in the United States?,2
How do I train for a marathon?,2
What is the capital of Canada?,2
How do I improve my fitness level?,2
What is the fastest way to get fit?,2
How do I use Photoshop?,2
What is the best way to make money online?,2
